place_name,latitude,longitude
Jakarta,-6.200000,106.816666
Pamekasan,-7.161367,113.482498
Banda Aceh,5.548290,95.323753
Ambon,-3.654703,128.190643
Palopo,-2.994494,120.195465
Soreang,-7.025253,107.519760
Dumai,1.694394,101.445007
Pematang Siantar,2.970042,99.068169
Banjarsari,-7.550676,110.828316
Lhoksukon,5.051701,97.318123
Bireuen,5.201390,96.702644
Trenggalek,-8.086410,111.713127
Ponorogo,-7.866688,111.466614
Stabat,3.750531,98.470528
Pangkal Pinang,-2.133333,106.116669
Makassar,-5.135399,119.423790
Banjar Baru,-3.457242,114.810318
Pamulang,-6.347891,106.741158
Jepara,-6.574958,110.670525
Manado,1.474830,124.842079
Pontianak,0.000000,109.333336
Tegal,-6.879704,109.125595
Cibinong,-6.497641,106.828224
Kendari,-3.972201,122.514900
Tangerang,-6.178306,106.631889
Semarang,-6.966667,110.416664
Amuntai,-2.423779,115.250832
Batam,1.045626,104.030457
Banjarmasin,-3.316694,114.590111
Jambi,-1.609972,103.607254
Serang,-6.120000,106.150276
Sampit,-2.539465,112.958687
Kupang,-10.178757,123.597603
Banjar,-7.374585,108.558189
Samarinda,-0.502106,117.153709
